Timestamp,PPG
186479.9926472,42907.0,84060.0
186479.992665,42850.0,83708.0
186479.9926762,42866.0,83756.0
186479.9927111,42863.0,83624.0
186479.9927211,42872.0,83676.0
186479.99273,42889.0,83984.0
186479.9927392,42855.0,83664.0
186479.9927651,42880.0,83740.0
186479.9927804,42870.0,83608.0
186479.9927966,42851.0,83656.0
186480.0932157,42907.0,84058.0
186480.0932318,42850.0,83590.0
186480.0932849,42866.0,83754.0
186480.0933084,42863.0,83622.0
186480.093319,42852.0,83598.0
186480.0933347,42889.0,83982.0
186480.0933501,42845.0,83594.0
186480.0933661,42880.0,83738.0
186480.0934869,42870.0,83606.0
186480.093504,42864.0,83578.0
186480.2842155,42885.0,84012.0
186480.2842311,42839.0,83592.0
186480.2842421,42870.0,83748.0
186480.2842529,42853.0,83596.0
186480.2842644,42861.0,83592.0
186480.2842752,42888.0,84052.0
186480.2842861,42851.0,83592.0
186480.2842965,42871.0,83744.0
186480.2843074,42859.0,83600.0
186480.2843177,42853.0,83612.0
186480.3396081,42885.0,84015.0
186480.3396321,42852.0,83627.0
186480.3396543,42870.0,83747.0
186480.3396673,42853.0,83599.0
186480.3396782,42857.0,83623.0
186480.3396871,42888.0,84051.0
186480.3396969,42870.0,83635.0
186480.339714,42871.0,83743.0
186480.339726,42859.0,83599.0
186480.3397394,42860.0,83643.0
186480.4253348,42907.0,84060.0
186480.4253463,42872.0,83736.0
186480.4253525,42866.0,83756.0
186480.4253587,42863.0,83624.0
186480.4253644,42871.0,83728.0
186480.4253711,42889.0,83984.0
186480.4253868,42875.0,83732.0
186480.4254051,42880.0,83740.0
186480.4254613,42870.0,83608.0
186480.4254818,42852.0,83740.0
186480.5202387,42907.0,84060.0
186480.5202506,42873.0,83816.0
186480.5202585,42866.0,83756.0
186480.5202657,42863.0,83624.0
186480.5202738,42873.0,83804.0
186480.520294,42889.0,83984.0
186480.5203106,42864.0,83820.0
186480.5203242,42880.0,83740.0
186480.5203421,42870.0,83608.0
186480.5203545,42858.0,83824.0
186480.621734,42885.0,84015.0
186480.6217448,42871.0,83887.0
186480.6217512,42870.0,83747.0
186480.6217572,42853.0,83599.0
186480.6217639,42884.0,83823.0
186480.6217715,42888.0,84051.0
186480.6217895,42871.0,83831.0
186480.6218053,42871.0,83743.0
186480.6218213,42859.0,83599.0
186480.6218357,42874.0,83763.0
186480.7639837,42885.0,84014.0
186480.7639982,42862.0,83662.0
186480.7640078,42870.0,83750.0
186480.7640171,42853.0,83598.0
186480.764027,42857.0,83626.0
186480.7640364,42888.0,84050.0
186480.7640456,42856.0,83646.0
186480.7640546,42871.0,83742.0
186480.7640637,42859.0,83598.0
186480.7640729,42865.0,83598.0
186480.8399688,42907.0,84057.0
186480.8399993,42841.0,83567.0
186480.8400074,42866.0,83757.0
186480.8400153,42863.0,83622.0
186480.8400236,42843.0,83547.0
186480.8400474,42889.0,83982.0
186480.8400548,42844.0,83567.0
186480.8400622,42880.0,83737.0
186480.840072,42870.0,83607.0
186480.8400799,42855.0,83577.0
186480.9374186,42907.0,84060.0
186480.9374447,42836.0,83588.0
186480.9374635,42866.0,83756.0
186480.9374801,42863.0,83624.0
186480.9374962,42868.0,83584.0
186480.9375133,42889.0,83984.0
186480.9375413,42841.0,83592.0
186480.9375711,42880.0,83740.0
186480.9375968,42870.0,83608.0
186480.9376096,42836.0,83592.0
186481.0395631,42885.0,84015.0
186481.039575,42864.0,83615.0
186481.0395824,42870.0,83747.0
186481.0395897,42853.0,83599.0
186481.0395984,42851.0,83647.0
186481.0396177,42888.0,84051.0
186481.0396344,42873.0,83647.0
186481.0396523,42871.0,83743.0
186481.039674,42859.0,83599.0
186481.0396856,42859.0,83691.0
186481.0963103,42885.0,84015.0
186481.0964373,42845.0,83675.0
186481.0965572,42870.0,83747.0
186481.0965954,42853.0,83599.0
186481.0966124,42863.0,83723.0
186481.0966278,42888.0,84051.0
186481.0967289,42871.0,83703.0
186481.0967446,42871.0,83743.0
186481.0969215,42859.0,83599.0
186481.0969448,42865.0,83747.0
186481.1936792,42907.0,84060.0
186481.1937067,42869.0,83824.0
186481.1937643,42866.0,83756.0
186481.1937807,42863.0,83624.0
186481.1937958,42870.0,83860.0
186481.1938119,42889.0,83984.0
186481.193827,42875.0,83832.0
186481.1938353,42880.0,83740.0
